canonical_code,round_number,value_raw,value_label,value_harmonized,is_missing,harmonization_rule,notes
trust_courts,9,9,Don’t know/Haven’t heard enough to say,,True,missing,
corruption_govt_officials,6,-1,Missing,,True,missing,
corruption_govt_officials,6,0,None,0,False,direct,
corruption_govt_officials,6,1,Some of them,1,False,direct,
corruption_govt_officials,6,2,Most of them,2,False,direct,
corruption_govt_officials,6,3,All of them,3,False,direct,
corruption_govt_officials,6,9,Don't know/ Haven't heard enough,,True,missing,
corruption_govt_officials,6,98,Refused,,True,missing,
corruption_govt_officials,7,-1,Missing,,True,missing,
corruption_govt_officials,7,0,None,0,False,direct,
corruption_govt_officials,7,1,Some of them,1,False,direct,
corruption_govt_officials,7,2,Most of them,2,False,direct,
corruption_govt_officials,7,3,All of them,3,False,direct,
corruption_govt_officials,7,8,Refused,,True,missing,
corruption_govt_officials,7,9,Don't know/ Haven’t heard,,True,missing,
corruption_govt_officials,8,-1,Missing,,True,missing,
corruption_govt_officials,8,0,None,0,False,direct,
corruption_govt_officials,8,1,Some of them,1,False,direct,
corruption_govt_officials,8,2,Most of them,2,False,direct,
corruption_govt_officials,8,3,All of them,3,False,direct,
corruption_govt_officials,8,8,Refused,,True,missing,
corruption_govt_officials,8,9,Don't know/ Haven’t heard,,True,missing,
corruption_govt_officials,9,-1,Missing,,True,missing,
corruption_govt_officials,9,0,None,0,False,direct,
corruption_govt_officials,9,1,Some of them,1,False,direct,
corruption_govt_officials,9,2,Most of them,2,False,direct,
corruption_govt_officials,9,3,All of them,3,False,direct,
corruption_govt_officials,9,8,Refused,,True,missing,
corruption_govt_officials,9,9,Don't know/ Haven’t heard,,True,missing,
govt_perf_economy,6,-1,Missing,,True,missing,
govt_perf_economy,6,1,Very Badly,1,False,direct,
govt_perf_economy,6,2,Fairly Badly,2,False,direct,
govt_perf_economy,6,3,Fairly Well,3,False,direct,
govt_perf_economy,6,4,Very Well,4,False,direct,
govt_perf_economy,6,9,Don't know / Haven't heard enough,,True,missing,
govt_perf_economy,6,98,Refused,,True,missing,
govt_perf_economy,6,99,Not asked in this country,,True,missing,
govt_perf_economy,7,-1,Missing,,True,missing,
govt_perf_economy,7,1,Very Badly,1,False,direct,
govt_perf_economy,7,2,Fairly Badly,2,False,direct,
govt_perf_economy,7,3,Fairly Well,3,False,direct,
govt_perf_economy,7,4,Very Well,4,False,direct,
govt_perf_economy,7,8,Refused,,True,missing,
govt_perf_economy,7,9,Don't know / Haven’t heard enough,,True,missing,
govt_perf_economy,8,-1,Missing,,True,missing,
govt_perf_economy,8,1,Very Badly,1,False,direct,
govt_perf_economy,8,2,Fairly Badly,2,False,direct,
govt_perf_economy,8,3,Fairly Well,3,False,direct,
govt_perf_economy,8,4,Very Well,4,False,direct,
govt_perf_economy,8,8,Refused,,True,missing,
govt_perf_economy,8,9,Don't Know / Haven’t heard enough to say,,True,missing,
govt_perf_economy,9,-1,Missing,,True,missing,
govt_perf_economy,9,1,Very badly,1,False,direct,
govt_perf_economy,9,2,Fairly badly,2,False,direct,
govt_perf_economy,9,3,Fairly well,3,False,direct,
govt_perf_economy,9,4,Very well,4,False,direct,
govt_perf_economy,9,8,Refused,,True,missing,
govt_perf_economy,9,9,Don't Know / Haven’t heard enough to say,,True,missing,
urban_rural,6,1,Urban,1,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,6,2,Rural,2,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,6,3,Semi-Urban,1,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,6,460,Peri-Urban,1,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,7,1,Urban,1,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,7,2,Rural,2,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,7,3,Semi-Urban,1,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,7,460,Peri-Urban,1,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,8,1,Urban,1,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,8,2,Rural,2,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,8,3,Semi-Urban,1,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,9,1,Urban,1,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,9,2,Rural,2,False,"collapsed to binary: urban={1,3,460}, rural={2}",
urban_rural,9,3,Peri-urban,1,False,"collapsed to binary: urban={1,3,460}, rural={2}",
age,6,-1,Missing,,True,missing,
age,6,998,Refused,,True,missing,
age,6,999,Don't know,,True,missing,
age,7,-1,Missing,,True,missing,
age,7,998,Refused,,True,missing,
age,7,999,Don't know,,True,missing,
age,8,-1,Missing,,True,missing,
age,8,998,Refused,,True,missing,
age,8,999,Don't know,,True,missing,
age,9,-1,Missing,,True,missing,
age,9,998,Refused,,True,missing,
age,9,999,Don't know,,True,missing,
gender,6,-1,Missing,,True,missing,
gender,6,1,Male,1,False,direct,
gender,6,2,Female,2,False,direct,
gender,7,-1,Missing,,True,missing,
gender,7,1,Male,1,False,direct,
gender,7,2,Female,2,False,direct,
gender,8,1,Male,1,False,direct,
gender,8,2,Female,2,False,direct,
gender,9,1,Man,1,False,direct,
gender,9,2,Woman,2,False,direct,
education_level,6,-1,Missing,,True,missing,
education_level,6,0,No formal schooling,0,False,direct,
education_level,6,1,Informal schooling only,1,False,direct,
education_level,6,2,Some primary schooling,2,False,direct,
education_level,6,3,Primary school completed,3,False,direct,
education_level,6,4,Some secondary school / high school,4,False,direct,
education_level,6,5,Secondary school / high school completed,5,False,direct,
education_level,6,6,"Post-secondary qualifications, other than university",6,False,direct,
education_level,6,7,Some university,7,False,direct,
education_level,6,8,University completed,8,False,direct,
education_level,6,9,Post-graduate,9,False,direct,
education_level,6,98,Refused,,True,missing,
education_level,6,99,Don't know,,True,missing,
education_level,7,-1,Missing,,True,missing,
education_level,7,0,No formal schooling,0,False,direct,
education_level,7,1,Informal schooling only,1,False,direct,
education_level,7,2,Some primary schooling,2,False,direct,
education_level,7,3,Primary school completed,3,False,direct,
education_level,7,4,Some secondary school / high school,4,False,direct,
education_level,7,5,Secondary school / high school completed,5,False,direct,
education_level,7,6,"Post-secondary qualifications, other than university",6,False,direct,
education_level,7,7,Some university,7,False,direct,
education_level,7,8,University completed,8,False,direct,
education_level,7,9,Post-graduate,9,False,direct,
education_level,7,98,Refused,,True,missing,
education_level,7,99,Don’t know,,True,missing,
education_level,8,-1,Missing,,True,missing,
education_level,8,0,No formal schooling,0,False,direct,
education_level,8,1,Informal schooling only (including Koranic schooling),1,False,direct,
education_level,8,2,Some primary schooling,2,False,direct,
education_level,8,3,Primary school completed,3,False,direct,
education_level,8,4,Intermediate school or Some secondary school / high school,4,False,direct,
education_level,8,5,Secondary school / high school completed,5,False,direct,
education_level,8,6,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",6,False,direct,
education_level,8,7,Some university,7,False,direct,
education_level,8,8,University completed,8,False,direct,
education_level,8,9,Post-graduate,9,False,direct,
education_level,8,98,Refused,,True,missing,
education_level,8,99,Don’t know,,True,missing,
education_level,9,-1,Missing,,True,missing,
education_level,9,0,No formal schooling,0,False,direct,
education_level,9,1,Informal schooling only (including Koranic schooling),1,False,direct,
education_level,9,2,Some primary schooling,2,False,direct,
education_level,9,3,Primary school completed,3,False,direct,
education_level,9,4,Intermediate school or Some secondary school / high school,4,False,direct,
education_level,9,5,Secondary school / high school completed,5,False,direct,
education_level,9,6,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",6,False,direct,
education_level,9,7,Some university,7,False,direct,
education_level,9,8,University completed,8,False,direct,
education_level,9,9,Post-graduate,9,False,direct,
education_level,9,98,Refused,,True,missing,
education_level,9,99,Don’t know,,True,missing,
trust_tax_authority,6,-1,Missing,,True,missing,
trust_tax_authority,6,0,Not at all,0,False,direct,
trust_tax_authority,6,1,Just a little,1,False,direct,
trust_tax_authority,6,2,Somewhat,2,False,direct,
trust_tax_authority,6,3,A lot,3,False,direct,
trust_tax_authority,6,9,Don't know/ Haven't heard enough,,True,missing,
trust_tax_authority,6,98,Refused,,True,missing,
trust_tax_authority,8,-1,Missing,,True,missing,
trust_tax_authority,8,0,Not at all,0,False,direct,
trust_tax_authority,8,1,Just a little,1,False,direct,
trust_tax_authority,8,2,Somewhat,2,False,direct,
trust_tax_authority,8,3,A lot,3,False,direct,
trust_tax_authority,8,8,Refused,,True,missing,
trust_tax_authority,8,9,Don’t know/Haven’t heard enough to say,,True,missing,
corruption_tax_officials,6,-1,Missing,,True,missing,
corruption_tax_officials,6,0,None,0,False,direct,
corruption_tax_officials,6,1,Some of them,1,False,direct,
corruption_tax_officials,6,2,Most of them,2,False,direct,
corruption_tax_officials,6,3,All of them,3,False,direct,
corruption_tax_officials,6,9,Don't know/ Haven't heard enough,,True,missing,
corruption_tax_officials,6,98,Refused,,True,missing,
corruption_tax_officials,8,-1,Missing,,True,missing,
corruption_tax_officials,8,0,None,0,False,direct,
corruption_tax_officials,8,1,Some of them,1,False,direct,
corruption_tax_officials,8,2,Most of them,2,False,direct,
corruption_tax_officials,8,3,All of them,3,False,direct,
corruption_tax_officials,8,8,Refused,,True,missing,
corruption_tax_officials,8,9,Don't know/ Haven’t heard,,True,missing,
corruption_tax_officials,9,-1,Missing,,True,missing,
corruption_tax_officials,9,0,None,0,False,direct,
corruption_tax_officials,9,1,Some of them,1,False,direct,
corruption_tax_officials,9,2,Most of them,2,False,direct,
corruption_tax_officials,9,3,All of them,3,False,direct,
corruption_tax_officials,9,8,Refused,,True,missing,
corruption_tax_officials,9,9,Don't know/ Haven’t heard,,True,missing,
lp_food,6,-1,Missing,,True,missing,
lp_food,6,0,Never,0,False,direct,
lp_food,6,1,Just once or twice,1,False,direct,
lp_food,6,2,Several times,2,False,direct,
lp_food,6,3,Many times,3,False,direct,
lp_food,6,4,Always,4,False,direct,
lp_food,6,9,Don't Know,,True,missing,
lp_food,6,98,Refused,,True,missing,
lp_food,7,-1,Missing,,True,missing,
lp_food,7,0,Never,0,False,direct,
lp_food,7,1,Just once or twice,1,False,direct,
lp_food,7,2,Several times,2,False,direct,
lp_food,7,3,Many times,3,False,direct,
lp_food,7,4,Always,4,False,direct,
lp_food,7,8,Refused,,True,missing,
lp_food,7,9,Don't know,,True,missing,
lp_food,8,-1,Missing,,True,missing,
lp_food,8,0,Never,0,False,direct,
lp_food,8,1,Just once or twice,1,False,direct,
lp_food,8,2,Several times,2,False,direct,
lp_food,8,3,Many times,3,False,direct,
lp_food,8,4,Always,4,False,direct,
lp_food,8,8,Refused,,True,missing,
lp_food,8,9,Don't Know,,True,missing,
lp_food,9,-1,Missing,,True,missing,
lp_food,9,0,Never,0,False,direct,
lp_food,9,1,Just once or twice,1,False,direct,
lp_food,9,2,Several times,2,False,direct,
lp_food,9,3,Many times,3,False,direct,
lp_food,9,4,Always,4,False,direct,
lp_food,9,8,Refused,,True,missing,
lp_food,9,9,Don't Know,,True,missing,
lp_water,6,-1,Missing,,True,missing,
lp_water,6,0,Never,0,False,direct,
lp_water,6,1,Just once or twice,1,False,direct,
lp_water,6,2,Several times,2,False,direct,
lp_water,6,3,Many times,3,False,direct,
lp_water,6,4,Always,4,False,direct,
lp_water,6,9,Don't Know,,True,missing,
lp_water,6,98,Refused,,True,missing,
lp_water,7,-1,Missing,,True,missing,
lp_water,7,0,Never,0,False,direct,
lp_water,7,1,Just once or twice,1,False,direct,
lp_water,7,2,Several times,2,False,direct,
lp_water,7,3,Many times,3,False,direct,
lp_water,7,4,Always,4,False,direct,
lp_water,7,8,Refused,,True,missing,
lp_water,7,9,Don't know,,True,missing,
lp_water,8,-1,Missing,,True,missing,
lp_water,8,0,Never,0,False,direct,
lp_water,8,1,Just once or twice,1,False,direct,
lp_water,8,2,Several times,2,False,direct,
lp_water,8,3,Many times,3,False,direct,
lp_water,8,4,Always,4,False,direct,
lp_water,8,8,Refused,,True,missing,
lp_water,8,9,Don't Know,,True,missing,
lp_water,9,-1,Missing,,True,missing,
lp_water,9,0,Never,0,False,direct,
lp_water,9,1,Just once or twice,1,False,direct,
lp_water,9,2,Several times,2,False,direct,
lp_water,9,3,Many times,3,False,direct,
lp_water,9,4,Always,4,False,direct,
lp_water,9,8,Refused,,True,missing,
lp_water,9,9,Don't Know,,True,missing,
lp_medical,6,-1,Missing,,True,missing,
lp_medical,6,0,Never,0,False,direct,
lp_medical,6,1,Just once or twice,1,False,direct,
lp_medical,6,2,Several times,2,False,direct,
lp_medical,6,3,Many times,3,False,direct,
lp_medical,6,4,Always,4,False,direct,
lp_medical,6,9,Don't Know,,True,missing,
lp_medical,6,98,Refused,,True,missing,
lp_medical,7,-1,Missing,,True,missing,
lp_medical,7,0,Never,0,False,direct,
lp_medical,7,1,Just once or twice,1,False,direct,
lp_medical,7,2,Several times,2,False,direct,
lp_medical,7,3,Many times,3,False,direct,
lp_medical,7,4,Always,4,False,direct,
lp_medical,7,8,Refused,,True,missing,
lp_medical,7,9,Don't know,,True,missing,
lp_medical,8,-1,Missing,,True,missing,
lp_medical,8,0,Never,0,False,direct,
lp_medical,8,1,Just once or twice,1,False,direct,
lp_medical,8,2,Several times,2,False,direct,
lp_medical,8,3,Many times,3,False,direct,
lp_medical,8,4,Always,4,False,direct,
lp_medical,8,8,Refused,,True,missing,
lp_medical,8,9,Don't Know,,True,missing,
lp_medical,9,-1,Missing,,True,missing,
lp_medical,9,0,Never,0,False,direct,
lp_medical,9,1,Just once or twice,1,False,direct,
lp_medical,9,2,Several times,2,False,direct,
lp_medical,9,3,Many times,3,False,direct,
lp_medical,9,4,Always,4,False,direct,
lp_medical,9,8,Refused,,True,missing,
lp_medical,9,9,Don't Know,,True,missing,
lp_fuel,6,-1,Missing,,True,missing,
lp_fuel,6,0,Never,0,False,direct,
lp_fuel,6,1,Just once or twice,1,False,direct,
lp_fuel,6,2,Several times,2,False,direct,
lp_fuel,6,3,Many times,3,False,direct,
lp_fuel,6,4,Always,4,False,direct,
lp_fuel,6,9,Don't Know,,True,missing,
lp_fuel,6,98,Refused,,True,missing,
lp_fuel,7,-1,Missing,,True,missing,
lp_fuel,7,0,Never,0,False,direct,
lp_fuel,7,1,Just once or twice,1,False,direct,
lp_fuel,7,2,Several times,2,False,direct,
lp_fuel,7,3,Many times,3,False,direct,
lp_fuel,7,4,Always,4,False,direct,
lp_fuel,7,8,Refused,,True,missing,
lp_fuel,7,9,Don't know,,True,missing,
lp_fuel,8,-1,Missing,,True,missing,
lp_fuel,8,0,Never,0,False,direct,
lp_fuel,8,1,Just once or twice,1,False,direct,
lp_fuel,8,2,Several times,2,False,direct,
lp_fuel,8,3,Many times,3,False,direct,
lp_fuel,8,4,Always,4,False,direct,
lp_fuel,8,8,Refused,,True,missing,
lp_fuel,8,9,Don't Know,,True,missing,
lp_fuel,9,-1,Missing,,True,missing,
lp_fuel,9,0,Never,0,False,direct,
lp_fuel,9,1,Just once or twice,1,False,direct,
lp_fuel,9,2,Several times,2,False,direct,
lp_fuel,9,3,Many times,3,False,direct,
lp_fuel,9,4,Always,4,False,direct,
lp_fuel,9,8,Refused,,True,missing,
lp_fuel,9,9,Don't Know,,True,missing,
lp_cash,6,-1,Missing,,True,missing,
lp_cash,6,0,Never,0,False,direct,
lp_cash,6,1,Just once or twice,1,False,direct,
lp_cash,6,2,Several times,2,False,direct,
lp_cash,6,3,Many times,3,False,direct,
lp_cash,6,4,Always,4,False,direct,
lp_cash,6,9,Don't Know,,True,missing,
lp_cash,6,98,Refused,,True,missing,
lp_cash,7,-1,Missing,,True,missing,
lp_cash,7,0,Never,0,False,direct,
lp_cash,7,1,Just once or twice,1,False,direct,
lp_cash,7,2,Several times,2,False,direct,
lp_cash,7,3,Many times,3,False,direct,
lp_cash,7,4,Always,4,False,direct,
lp_cash,7,8,Refused,,True,missing,
lp_cash,7,9,Don't know,,True,missing,
lp_cash,8,-1,Missing,,True,missing,
lp_cash,8,0,Never,0,False,direct,
lp_cash,8,1,Just once or twice,1,False,direct,
lp_cash,8,2,Several times,2,False,direct,
lp_cash,8,3,Many times,3,False,direct,
lp_cash,8,4,Always,4,False,direct,
lp_cash,8,8,Refused,,True,missing,
lp_cash,8,9,Don't Know,,True,missing,
lp_cash,9,-1,Missing,,True,missing,
lp_cash,9,0,Never,0,False,direct,
lp_cash,9,1,Just once or twice,1,False,direct,
lp_cash,9,2,Several times,2,False,direct,
lp_cash,9,3,Many times,3,False,direct,
lp_cash,9,4,Always,4,False,direct,
lp_cash,9,8,Refused,,True,missing,
lp_cash,9,9,Don't Know,,True,missing,
